shot_id,sequence_id,duration_seconds,dramatic_stage,dramatic_beat,visual_subtext,composition,camera,camera_psychology,screen_action,sound_detail,sound_perspective,cut_motivation,continuity_anchor,transition_role,religious_visual_safety,master_lock_status
ADAM-DC2-S06-SH04,ADAM-SEQUENCE-06,26,turn,إظهار المقياس عبر البيئة,العظمة الجسدية لا تساوي الكرامة وحدها,ممر هائل بين أشجار وأقواس صخرية تكشف مقياسًا يتجاوز الإنسان المعتاد.,رفع عمودي طويل من مستوى الأرض إلى قمم شاهقة.,الحركة تخدم «إظهار المقياس عبر البيئة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يمتد منظور الظل خارج الكادر دون أن يرسم هيئة.,رياح عالية وتردد منخفض.,الصوت يبدأ من مادة اللقطة (رياح عالية وتردد منخفض.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,أول نبضة وأثر النفس,الإشارة إلى طول آدم بالبيئة لا بالجسد.,لا جسد أو ظل محدد الملامح.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S06-SH05,ADAM-SEQUENCE-06,26,bridge,فتح الصلة بالسلام,الإنسان يبدأ علاقته بالآخر بالسلام,فضاء مفتوح بين جبلين؛ موجة ضوء تتقدم من جهة وتعود أوسع من الجهة الأخرى.,حركة متقابلة تلتقي في منتصف الوادي.,الحركة تخدم «فتح الصلة بالسلام»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تظهر كلمات السلام ثم تتردد على الماء والصخر.,السلام بصوت الراوي وصدى طبيعي بلا أصوات شخصيات.,الصوت يبدأ من مادة اللقطة (السلام بصوت الراوي وصدى طبيعي بلا أصوات شخصيات.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,أول نبضة وأثر النفس,إرساء التحية والانتقال إلى المعرفة.,لا تصوير أو أداء للملائكة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S07-SH01,ADAM-SEQUENCE-07,18,entry,تفكيك العالم إلى أشياء محسوسة,المعرفة تبدأ من رؤية الفروق,منظور أول يسير عبر وادٍ تتجاور فيه مياه وصخور ونباتات وحيوانات بعيدة.,تتبع مستقر على ارتفاع العين مع انتقالات داخلية بين البيئات.,الحركة تخدم «تفكيك العالم إلى أشياء محسوسة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,كل عنصر يكتسب حضورًا صوتيًا خاصًا حين يدخل مجال النظر.,ماء وحجر وورق وأجنحة حيوانات عادية ضمن إيقاع واحد.,الصوت يبدأ من مادة اللقطة (ماء وحجر وورق وأجنحة حيوانات عادية ضمن إيقاع واحد.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,العناصر التي تجد أسماءها,جعل المعرفة تجربة عالم لا قائمة أسماء.,لا تجسيد لآدم؛ الحيوانات عادية وغير منسوبة للغيب.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S07-SH02,ADAM-SEQUENCE-07,24,reveal,ربط الأشياء بشبكة معنى,الاسم علاقة لا بطاقة جامدة,تفاصيل دقيقة: عروق ورقة، بلورات حجر، تموج ماء، بصمة ريش.,ماكرو متصل بحركات match cut بين المواد.,الحركة تخدم «ربط الأشياء بشبكة معنى»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تنشأ بين التفاصيل روابط بصرية خفية.,أصوات المواد تتحول إلى نسيج موسيقي.,الصوت يبدأ من مادة اللقطة (أصوات المواد تتحول إلى نسيج موسيقي.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,العناصر التي تجد أسماءها,إظهار قدرة التمييز والبيان.,مواد طبيعية فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S07-SH03,ADAM-SEQUENCE-07,28,pressure,عرض حدود العلم السابق,الاعتراف بالحد ليس نقصًا أخلاقيًا,خطوط حبر شفافة تنشأ من الأشياء وتلتقي في شبكة واسعة فوق الوادي.,طيران داخل الشبكة ثم انسحاب يكشف اتساعها.,الحركة تخدم «عرض حدود العلم السابق»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتشكل احتمالات متعددة للمعنى ثم لا تستقر في قائمة مغلقة.,همسات حروف غير مفهومة ثم وضوح صوت الراوي.,الصوت يبدأ من مادة اللقطة (همسات حروف غير مفهومة ثم وضوح صوت الراوي.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,العناصر التي تجد أسماءها,احتواء أقوال التفسير دون إيقاف المشهد.,وسم خافت: وجوه تفسيرية متعددة لا حصر للمراد.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S07-SH04,ADAM-SEQUENCE-07,26,turn,منح التواضع لحظة صمت,الصمت هنا معرفة بمصدر المعرفة,المشهد الطبيعي يهدأ، وانعكاسات ضوء مرتبة تظهر على بحيرة ساكنة.,دوران حول البحيرة مع ثبات مركزها.,الحركة تخدم «منح التواضع لحظة صمت»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تنطفئ أصوات العناصر عند إقرار حدود العلم.,صمت يسبق الآية، ثم صوت الراوي وحده.,الصوت يبدأ من مادة اللقطة (صمت يسبق الآية، ثم صوت الراوي وحده.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,العناصر التي تجد أسماءها,إبراز التواضع المعرفي.,الانعكاسات ليست ملائكة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S07-SH05,ADAM-SEQUENCE-07,26,bridge,كشف موضع تكريم آدم,الطين يحمل ما لم تكشفه مادته,تعود الأصوات واحدة تلو الأخرى، وتتصل الأشياء ضمن إيقاع واضح يقوده مركز منظور الكاميرا.,اندفاع من البحيرة عبر الوادي إلى سماء مفتوحة.,الحركة تخدم «كشف موضع تكريم آدم»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تنتظم الشبكة ثم تنضغط إلى نقطة ضوء واحدة.,اكتمال لحن المعرفة.,الصوت يبدأ من مادة اللقطة (اكتمال لحن المعرفة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,العناصر التي تجد أسماءها,كشف التكريم والعبور إلى الأمر.,المركز منظور لا هيئة آدم.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S08-SH01,ADAM-SEQUENCE-08,12,entry,إيقاف نشوة المعرفة,العلم لا يعفي من الامتثال,الوادي كله في لحظة حركة: ماء يسقط، طائر يعبر، أوراق تهتز؛ ثم يتوقف كل شيء.,حركة بطيئة تتحول إلى توقف كامل في منتصف الفعل.,الحركة تخدم «إيقاف نشوة المعرفة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تبقى قطرة ماء معلقة في الهواء.,تتباطأ الأصوات حتى الصفر.,الصوت يبدأ من مادة اللقطة (تتباطأ الأصوات حتى الصفر.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,تجمد شبكة الأسماء,تحويل المعرفة إلى عتبة اختبار.,العالم الطبيعي فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S08-SH02,ADAM-SEQUENCE-08,18,reveal,إحضار الأمر إلى مركز الصورة,الأمر يختبر ترتيب القيم,الآية تظهر فوق الأفق الموقوف، كأنها الحد الوحيد المتحرك.,اقتراب محوري شديد البطء.,الحركة تخدم «إحضار الأمر إلى مركز الصورة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تزداد الكلمات وضوحًا مع صوت الراوي.,صوت الراوي بلا موسيقى.,الصوت يبدأ من مادة اللقطة (صوت الراوي بلا موسيقى.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,تجمد شبكة الأسماء,تثبيت الأمر من النص.,لا تجسيد للآمر أو المأمور.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S08-SH03,ADAM-SEQUENCE-08,22,pressure,تهيئة حركة السجود,الطاعة تتجمع قبل الحركة,أشجار وحشائش وغيوم تنخفض في حركة بيئية موحدة حول مركز خارج الكادر.,دوران واسع يلتقط الحركة من جهات متعددة.,الحركة تخدم «تهيئة حركة السجود»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتعاظم الحركة من الأطراف إلى المركز.,اندفاع هواء متناغم.,الصوت يبدأ من مادة اللقطة (اندفاع هواء متناغم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,تجمد شبكة الأسماء,منح السجود مقياسًا بلا أجساد غيبية.,الانخفاض استعارة بيئية لا تصوير الملائكة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S08-SH04,ADAM-SEQUENCE-08,20,turn,زرع قياس النار والطين,المادة ستُستعمل حجة للكبر,شق بركاني مشتعل يواجه سهلًا طينيًا هادئًا عبر وادٍ عميق.,عدسة طويلة تضغط المسافة بين الأصلين.,الحركة تخدم «زرع قياس النار والطين»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يتصاعد اللهب بينما يبقى الطين ثابتًا.,طنينان متعارضان.,الصوت يبدأ من مادة اللقطة (طنينان متعارضان.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,تجمد شبكة الأسماء,زرع القياس الذي سيظهر في حجة إبليس.,المادتان رمزان لا جسدان.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S08-SH05,ADAM-SEQUENCE-08,20,bridge,قطع المشهد قبل اكتمال الطاعة,التوتر يولد من التأخير لا الصخب,كل عناصر الضوء والبيئة تنخفض؛ وحده عمود حرارة رفيع يبقى قائمًا بعيدًا.,رفع بسيط يكشف العمود في آخر ثانية.,الحركة تخدم «قطع المشهد قبل اكتمال الطاعة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تقطع الصورة قبل اكتمال الانخفاض.,نبضة واحدة ثم صمت.,الصوت يبدأ من مادة اللقطة (نبضة واحدة ثم صمت.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,تجمد شبكة الأسماء,العبور إلى السجود وكشف الاستثناء.,عمود الحرارة ليس إبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S09-SH01,ADAM-SEQUENCE-09,16,entry,إطلاق السجود في مقياس ملحمي,الامتثال جماعي لكنه ليس ذوبانًا للمعنى,سهل جبلي هائل تتحرك فوقه آلاف انعكاسات الضوء في انتظام واحد.,لقطة عريضة ثابتة تسمح للحركة أن تملأ العمق.,الحركة تخدم «إطلاق السجود في مقياس ملحمي»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تنخفض الانعكاسات نحو الأرض في موجة متصلة.,موجة هواء واسعة وارتطام ناعم.,الصوت يبدأ من مادة اللقطة (موجة هواء واسعة وارتطام ناعم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الموجة الهابطة والتشوه الحراري,منح الامتثال اتساعًا وهدوءًا.,الضوء ليس أجساد ملائكة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S09-SH02,ADAM-SEQUENCE-09,22,reveal,جعل البيئة تشارك في الامتثال,الطبيعة تؤكد وحدة الاتجاه,الغيوم والظلال على الجبال تنحني مع الموجة نفسها.,طيران جانبي بمحاذاة قمم الجبال.,الحركة تخدم «جعل البيئة تشارك في الامتثال»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تصل الحركة إلى كل حافة في توقيت واحد.,رعد بعيد يتحول إلى تناغم.,الصوت يبدأ من مادة اللقطة (رعد بعيد يتحول إلى تناغم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الموجة الهابطة والتشوه الحراري,جعل العالم شاهدًا بصريًا على الامتثال.,استعارة بيئية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S09-SH03,ADAM-SEQUENCE-09,26,pressure,إغلاق الحركة على اكتمالها,الكمال يسبق الانكسار كي نشعر بفداحته,الآية تملأ شاشة سوداء بعد اكتمال الحركة.,ثبات طويل بلا قطع.,الحركة تخدم «إغلاق الحركة على اكتمالها»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,ينطفئ آخر أثر ضوء مع كلمة «أجمعون».,صوت الراوي وجملة موسيقية مكتملة.,الصوت يبدأ من مادة اللقطة (صوت الراوي وجملة موسيقية مكتملة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الموجة الهابطة والتشوه الحراري,ختم فعل السجود.,النص فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S09-SH04,ADAM-SEQUENCE-09,24,turn,فتح شق الاستثناء,كلمة واحدة تعيد تفسير المشهد كله,يعود السهل في سكون كامل، لكن عمود حرارة واحد يشوه الأفق.,اقتراب عدسة طويلة يضغط المسافة.,الحركة تخدم «فتح شق الاستثناء»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تظهر كلمة ﴿إلا﴾ قبل أن يتضح مصدر الاضطراب.,نغمة منفردة خارج السلم.,الصوت يبدأ من مادة اللقطة (نغمة منفردة خارج السلم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الموجة الهابطة والتشوه الحراري,فتح الاستثناء.,لا هيئة لإبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S09-SH05,ADAM-SEQUENCE-09,26,bridge,تحويل الشق إلى وادٍ للكبر,الرفض يصنع عالمه البصري الخاص,تشوه الحرارة يتسع حتى يصبح ممرًا بركانيًا داخل الكادر.,اندفاع سريع عبر التشوه.,الحركة تخدم «تحويل الشق إلى وادٍ للكبر»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتشقق الأرض في اتجاه معاكس لحركة السجود.,تمزق صوتي وبدء إيقاع الذروة.,الصوت يبدأ من مادة اللقطة (تمزق صوتي وبدء إيقاع الذروة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الموجة الهابطة والتشوه الحراري,الدخول إلى منطق الرفض.,النار رمز للأصل والحجة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S10-SH01,ADAM-SEQUENCE-10,15,entry,رفع النار ضد اتجاه الطاعة,التمرد حركة عكسية مقصودة,وادي بركاني تعصف فيه نار أفقية فوق صخور سوداء.,حركة كاميرا عنيفة قصيرة ثم ثبات أمام جدار النار.,الحركة تخدم «رفع النار ضد اتجاه الطاعة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يتشكل في النار خط صاعد يرفض اتجاه الريح.,احتراق غير منتظم وضربات حجر.,الصوت يبدأ من مادة اللقطة (احتراق غير منتظم وضربات حجر.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,السبج والطريق المضيء,تحويل الإباء إلى قوة مشهدية بلا كائن مرئي.,لا جسد أو وجه لإبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S10-SH02,ADAM-SEQUENCE-10,22,reveal,وضع النار والطين تحت السؤال,المادة لا تحاكم الأمر,في الجهة المقابلة، سهل طيني ساكن يحتفظ بآثار المطر.,عدسة طويلة من داخل الوادي البركاني نحو السهل.,الحركة تخدم «وضع النار والطين تحت السؤال»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تسقط قطرة ماء على الطين ولا يحدث صراع مباشر.,ماء واحد مقابل هدير النار.,الصوت يبدأ من مادة اللقطة (ماء واحد مقابل هدير النار.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,السبج والطريق المضيء,تثبيت طرفي الحجة من دون إقرار ميزانها.,الطين ليس جسد آدم.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S10-SH03,ADAM-SEQUENCE-10,25,pressure,تكبير الأنا داخل مرايا السبج,الكبر يعيد إنتاج نفسه في كل انعكاس,ألواح سبج عاكسة تكرر النار والطين، وتكبر في كل انعكاس كلمة «أنا».,دوران متسارع بين الانعكاسات ثم توقف حاد.,الحركة تخدم «تكبير الأنا داخل مرايا السبج»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تنكسر الألواح عند اكتمال الآية.,صدى كلمة «أنا» بصوت الراوي فقط، ثم كسر زجاجي.,الصوت يبدأ من مادة اللقطة (صدى كلمة «أنا» بصوت الراوي فقط، ثم كسر زجاجي.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,السبج والطريق المضيء,ترجمة تضخم الذات إلى فضاء بصري.,لا أداء تمثيلي لإبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S10-SH04,ADAM-SEQUENCE-10,22,turn,إسقاط الكبر إلى العداوة,العقوبة لا تنهي الاختيار الشرير,ينفتح الوادي إلى هاوية، وتسقط شراراته إلى ظلام لا يُرى قاعه.,سقوط رأسي سريع يتوقف فوق السواد.,الحركة تخدم «إسقاط الكبر إلى العداوة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتحول الشرارات إلى شقوق طويلة على أرض بعيدة.,سقوط منخفض ثم صمت ثقيل.,الصوت يبدأ من مادة اللقطة (سقوط منخفض ثم صمت ثقيل.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,السبج والطريق المضيء,الطرد واللعنة من دون تصوير موضع غيبي.,الهاوية استعارة لا تحديد لمكان.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S10-SH05,ADAM-SEQUENCE-10,25,bridge,مد العداوة على طريق البشر,كل إنسان سيرث طريقًا مراقبًا لا مصيرًا مفروضًا,طريق مستقيم من الضوء يمر عبر أسواق ومدارس وبيوت وساحات حرب عبر عصور كثيرة؛ ظلال تترصد على الجانبين.,اندفاع أمامي مستمر مع لقطات بشرية بعيدة بلا أبطال محددين.,الحركة تخدم «مد العداوة على طريق البشر»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يحاول الظل قطع الطريق لكنه لا يملأه كاملًا.,أصوات حياة بشرية تتداخل مع موتيف تهديد مستمر.,الصوت يبدأ من مادة اللقطة (أصوات حياة بشرية تتداخل مع موتيف تهديد مستمر.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,السبج والطريق المضيء,تحويل العداوة إلى محرك تاريخي للمسلسل.,أشخاص عاديون مجهولون؛ لا أنبياء أو وقائع محددة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S11-SH01,ADAM-SEQUENCE-11,12,entry,إخراج الكثرة من أصل واحد,البشرية امتداد حي لأبيها الأول,تكوين طيني قوسي هائل لا يكتمل في هيئة بشرية؛ من امتداده تبدأ آلاف نقاط الضوء في الظهور طبقة بعد طبقة.,انسحاب بطيء يبدأ من ملمس الطين وينتهي أمام اتساع لا يحصى.,الحركة تخدم «إخراج الكثرة من أصل واحد»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تخرج النقاط من الأصل الطيني وتتحول إلى أجيال وقرى ومدن بعيدة.,نبضة واحدة تتكاثر إلى نبضات بشرية متعددة الأعمار.,الصوت يبدأ من مادة اللقطة (نبضة واحدة تتكاثر إلى نبضات بشرية متعددة الأعمار.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأثر الطيني الذي يصير أجيالًا,إثبات خروج الذرية من أصل واحد قبل مشهد الميثاق.,لا جسد لآدم ولا ظهر مرئي؛ الأصل الطيني استعارة بيئية للحدث الثابت.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S11-SH02,ADAM-SEQUENCE-11,18,reveal,إقامة الميثاق في مركز الذاكرة الإنسانية,العهد أسبق من دعوى الغفلة,سطح ماء واسع يعكس أجيالًا بلا وجوه، وتتوسطه الآية بخط قرآني رصين.,هبوط محوري حتى يصير انعكاس السماء والأجيال مستوى واحدًا.,الحركة تخدم «إقامة الميثاق في مركز الذاكرة الإنسانية»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تظهر ﴿أَلَسْتُ بِرَبِّكُمْ قَالُوا بَلَىٰ شَهِدْنَا﴾ كاملة بلا تقطيع، وتتحد دوائر الماء عند «بَلَىٰ».,صوت الراوي وحده عند الآية، ثم عودة النبضات بعد الصمت.,الصوت يبدأ من مادة اللقطة (صوت الراوي وحده عند الآية، ثم عودة النبضات بعد الصمت.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأثر الطيني الذي يصير أجيالًا,إقامة الميثاق بوصفه مركز المسؤولية لا هامشًا تفسيريًا.,الآية تُقرأ بصوت الراوي؛ لا أداء جماعي مجسد للذرية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S11-SH03,ADAM-SEQUENCE-11,18,pressure,مد الذرية إلى أمم وأزمنة,كل جيل يحمل السؤال نفسه,شجرة نسب من ضوء خافت تنمو فوق أرض حقيقية؛ فروعها تصير طرقًا ومدنًا وسواحل.,رفع من الجذر المجرد إلى شبكة الفروع.,الحركة تخدم «مد الذرية إلى أمم وأزمنة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,كل فرع يلد جيلًا ثم يترك أثرًا للجيل الذي بعده.,احتكاك رقيق ولحن إنساني.,الصوت يبدأ من مادة اللقطة (احتكاك رقيق ولحن إنساني.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأثر الطيني الذي يصير أجيالًا,تحويل الذرية من عدد غيبي إلى أثر بشري ممتد في الأرض.,وسم بصري: رواية معتبرة لا تفسير حصري للآية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S11-SH04,ADAM-SEQUENCE-11,18,turn,فصل ثبوت الحدث عن ترتيب الربط الزمني,التحفظ الزمني لا يضعف أصل الحدث,طريق واحد يمر عبر عصور متعددة من دون ساعة أو سهم زمني أو موضع محدد للحدث.,حركة حرة غير خطية تتوقف أمام أكثر من باب.,الحركة تخدم «فصل ثبوت الحدث عن ترتيب الربط الزمني»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتعاقب العصور على جانبي الطريق بينما يبقى العهد في مركز التكوين.,إيقاع بلا ضربة أولى واضحة.,الصوت يبدأ من مادة اللقطة (إيقاع بلا ضربة أولى واضحة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأثر الطيني الذي يصير أجيالًا,حفظ التحفظ في الربط الزمني من دون إضعاف أصل خروج الذرية أو الميثاق.,لا ادعاء زمان أو مكان غيبي.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S11-SH05,ADAM-SEQUENCE-11,18,bridge,إعادة المسؤولية إلى كل فرد,العدو حاضر لكن الاختيار إنساني,يختفي الممر وتبقى في تراب رطب آثار خطوتين تتجهان إلى خضرة كثيفة.,تتبع منخفض للآثار حتى بوابة طبيعية من الأشجار.,الحركة تخدم «إعادة المسؤولية إلى كل فرد»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تدخل الريح الخضراء إلى الكادر وتغطيه.,الموتيف الإنساني يهدأ وتدخل أصوات ماء.,الصوت يبدأ من مادة اللقطة (الموتيف الإنساني يهدأ وتدخل أصوات ماء.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأثر الطيني الذي يصير أجيالًا,الانتقال إلى السكن والزوجية.,الآثار توحي بحضورين دون تصوير آدم أو حواء.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S12-SH01,ADAM-SEQUENCE-12,12,entry,إثبات الخلق من الضلع بلا تشريح,الأنس يخرج من الوحدة دون ابتذال بصري,بنية عظمية منحنية تُرى داخل ضوء عاجي ثم تتحول إلى قوسين متجاورين في عمارة طبيعية.,ماكرو ثم انسحاب يكشف القوسين كمدخل إلى حديقة.,الحركة تخدم «إثبات الخلق من الضلع بلا تشريح»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يتحرك ضوءان متوازيان داخل القوسين بلا أجساد.,وتران متقاربان ونفس هواء.,الصوت يبدأ من مادة اللقطة (وتران متقاربان ونفس هواء.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,مساران في الحديقة,تثبيت أصل الضلع والانتقال إلى الأنس.,لا جسد أو عملية خلق مصورة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S12-SH02,ADAM-SEQUENCE-12,18,reveal,إبقاء التفاصيل غير الثابتة خارج يقين الصورة,الخبر الثانوي لا يقود التكوين,ثلاثة ظلال بيئية غير مكتملة: ممر ينعطف يسارًا، ضوء يخفت كالنوم، وشق في حجر يلتئم؛ لا تتجمع في واقعة واحدة.,انتقال تركيز بين الإشارات الثلاث ثم خروج منها إلى ضوء الحديقة.,الحركة تخدم «إبقاء التفاصيل غير الثابتة خارج يقين الصورة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,كل إشارة تبدأ بالتشكل ثم تذوب قبل أن تصبح صورة تقريرية.,أصوات بعيدة غير لغوية تنسحب أمام صوت الماء.,الصوت يبدأ من مادة اللقطة (أصوات بعيدة غير لغوية تنسحب أمام صوت الماء.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,مساران في الحديقة,إبقاء التفاصيل الثانوية خارج يقين الصورة بلا بطاقات بحثية.,لا نوم مجسد ولا ضلع محدد الجهة ولا حوار مخترع.,READY_FOR_HUMAN_STORYBOARD_REVIEW
